Middlebury,Franciscan,1

Michigan Tech,Hamilton,2

Middlebury,Hamilton,2

Michigan Tech,Franciscan,7

Middlebury,Michigan Tech,5

Hamilton,Franciscan,1

Air Force,Portland,7

Bryant University,Claremont,13

Air Force,Claremont,11

Bryant University,Portland,9

Air Force,Bryant University,4

Claremont,Portland,1

Carleton College-GoP,Missouri S&T,1

Colby,Berry,2

Carleton College-GoP,Berry,9

Missouri S&T,Colby,3

Carleton College-GoP,Colby,9

Missouri S&T,Berry,2

Richmond,Luther,2

Bowdoin,Valparaiso,4

Richmond,Valparaiso,5

Luther,Bowdoin,2

Bowdoin,Richmond,2

Luther,Valparaiso,5

Middlebury,Air Force,3

Middlebury,Richmond,1

Air Force,Carleton College-GoP,2

Middlebury,Bryant University,6

Richmond,Missouri S&T,4

Carleton College-GoP,Luther,5

Air Force,Bowdoin,5

Bryant University,Colby,7

Missouri S&T,Claremont,8

Luther,Hamilton,9

Bowdoin,Michigan Tech,3

Missouri S&T,Bryant University,7

Bowdoin,Luther,1

Colby,Claremont,3

Michigan Tech,Hamilton,2

Franciscan,Valparaiso,4

Franciscan,Colby,3

Valparaiso,Claremont,6

Portland,Berry,10

Berry,Hamilton,7

Portland,Michigan Tech,11

